,GDOP,HDOP,VDOP,TDOP
0,,,,
1,,,,
2,1.2928550095966842,0.7312279712547407,0.4915367648482318,0.1857644732842167
3,,,,
4,,,,
5,,,,
6,,,,
7,1.2878487490679458,0.925414537838221,0.28210696937852126,0.12793006979206514
8,,,,
9,1.409470607099042,0.9806469567652523,0.48245929112582725,0.17959574347178858
10,,,,
11,,,,
12,,,,
13,1.770745515772619,2.0137735468910125,0.37685110986514264,0.28156637043557725
14,,,,
15,1.5356620102723522,1.1173488341145072,0.6426246744193074,0.18970906995768033
16,1.629670993155475,1.24499359441541,0.660049630720561,0.24161724018032935
17,2.979518038567954,4.993676200410445,1.21305967483456,1.7690900525523416
18,,,,
19,2.168934699639466,2.864336541046964,0.7890057197966825,0.49938306488860934
20,1.367746003393175,1.0542298856746066,0.29772212862852787,0.1201657561612752
